P02-12_100, H２４_公共施設
P02-12_100Na, H２４（名称）_公共施設
P02-06_100, H１８_公共施設
P02-06_100N, H１８（名称）_公共施設
P02-90_100, H２_公共施設
P02-90_100N, H２（名称）_公共施設
P05-10_100, H２２_市区町村役場（公的集会施設）
P05-10_100N, H２２（名称）_市区町村役場（公的集会施設）
P34-14_100, H２６_市区町村役場
P34-14_100N, H２６（名称）_市区町村役場
P04-14_100, H２６_市区町村役場
P04-14_100N, H２６（名称）_市区町村役場
P04-10_100, H２２_市区町村役場
P04-10_100N, H２２（名称）_市区町村役場
P14-15_101, H２７_市区町村役場
P14-15_101N, H２７（名称）_市区町村役場
P14-11_100, H２３_市区町村役場
P14-11_100N, H２３（名称）_市区町村役場
P07-15_100, H２７_燃料給油所
P07-10_100, H２２_燃料給油所
P11-10_100, H２２_バス停留所
P11-10_100N, H２２（名称）_バス停留所
W01-14_100, H２６_ダム総貯水量
W01-14_100N, H２６（名称）_ダム総貯水量
W01-05_100, H１７_ダム総貯水量
W01-05_100N, H１７（名称）_ダム総貯水量
W01-07P_100, H７_ダム総貯水量
W01-07P_100N, H７（名称）_ダム総貯水量
P03-13_100, H２５_発電所
P03-13_100N, H２５（名称）_発電所
P03-07_100, H１９_発電所
P03-07_100N, H１９（名称）_発電所
P03-95_100, H７_発電所
P03-95_100N, H７（名称）_発電所
P12-14_100, H２６_観光資源（面）
P12-10_100, H２２_観光資源（面）
P12-14_200, H２６_観光資源（線）
P12-10_200, H２２_観光資源（線）
P12-14_300, H２６_観光資源（線）
P12-14_300N, H２６（名称）_観光資源（線）
P12-10_300, H２２_観光資源（線）
P12-10_300N, H２２（名称）_観光資源（線）
P32-14_100, H２６_都道府県指定文化財
P32-14_100N, H２６（名称）_都道府県指定文化財
P09-10, H２２_宿泊容量１Kmメッシュ
P13-11_100, H２３_都市公園
P13-11_100N, H２３（名称）_都市公園
P24-12_100, H２４_地場産業関連施設
P31-13, H２５_物流拠点
P26-13, H２５_ニュータウン
P15g-12_100, H２４_廃棄物処理施設データ(ゴミ処理施設(一般))
P15i-12_100, H２４_廃棄物処理施設データ(ゴミ処理施設(工業))
P16-12_100, H２４_研究機関
P21p-12_100, H２４_上水道施設(浄水場)
P22-12_100, H２４_下水道施設　処理場(処理場・ポンプ場)
P20-12_100, H２４_指定避難場所
P33-14, H２６_集客施設
L01-18, H３０_地価公示価格
L01-17, H２９_地価公示価格
L01-16, H２８_地価公示価格
L01-15, H２７_地価公示価格
L01-14, H２６_地価公示価格
L01-13, H２５_地価公示価格
L01-12, H２４_地価公示価格
L01-11, H２３_地価公示価格
L01-10, H２２_地価公示価格
L01-09, H２１_地価公示価格
L01-08, H２０_地価公示価格
L01-07, H１９_地価公示価格
L01-06, H１８_地価公示価格
L01-05, H１７_地価公示価格
L01-04, H１６_地価公示価格
L01-03, H１５_地価公示価格
L01-02, H１４_地価公示価格
L01-01, H１３_地価公示価格
L01-00, H１２_地価公示価格
L01-99, H１１_地価公示価格
L01-98, H１０_地価公示価格
L01-97, H９_地価公示価格
L01-96, H８_地価公示価格
L01-95, H７_地価公示価格
L01-94, H６_地価公示価格
L01-93, H５_地価公示価格
L01-92, H４_地価公示価格
L02-18, H３０_都道府県地価調査価格
L02-17, H２９_都道府県地価調査価格
L02-16, H２８_都道府県地価調査価格
L02-15, H２７_都道府県地価調査価格
L02-14, H２６_都道府県地価調査価格
L02-13, H２５_都道府県地価調査価格
L02-12, H２４_都道府県地価調査価格
L02-11, H２３_都道府県地価調査価格
L02-10, H２２_都道府県地価調査価格
L02-09, H２１_都道府県地価調査価格
L02-08, H２０_都道府県地価調査価格
L02-07, H１９_都道府県地価調査価格
L02-06, H１８_都道府県地価調査価格
L02-05, H１７_都道府県地価調査価格
L02-04, H１６_都道府県地価調査価格
L02-03, H１５_都道府県地価調査価格
L02-02, H１４_都道府県地価調査価格
L02-01, H１３_都道府県地価調査価格
L02-00, H１２_都道府県地価調査価格
L02-99, H１１_都道府県地価調査価格
L02-98, H１０_都道府県地価調査価格
L02-97, H９_都道府県地価調査価格
L02-96, H８_都道府県地価調査価格
L02-95, H７_都道府県地価調査価格
L02-94, H６_都道府県地価調査価格
L02-93, H５_都道府県地価調査価格
L02-92, H４_都道府県地価調査価格
L03-a-14, H２６_土地利用１Kmメッシュ
L03-a-09, H２１_土地利用１Kmメッシュ
L03-a-06, H１８_土地利用１Kmメッシュ
L03-a-97, H９_土地利用１Kmメッシュ
L03-a-91, H３_土地利用１Kmメッシュ
L03-a-87, S６２_土地利用１Kmメッシュ
L03-a-76, S５１_土地利用１Kmメッシュ
L03-b-14, H２６_土地利用100ｍメッシュ
L03-b-09, H２１_土地利用100ｍメッシュ
L03-b-06, H１８_土地利用100ｍメッシュ
L03-b-97, H９_土地利用100ｍメッシュ
L03-b-91, H３_土地利用100ｍメッシュ
L03-b-87, S６２_土地利用100ｍメッシュ
L03-b-76, S５１_土地利用100ｍメッシュ
L05-1-09_100, H２１_工業団地
L05-2-09_100, H２１_単独工業用地
A30b-11, H２３_竜巻等の突風（点）
G04-a-11, H２３_標高１Kmメッシュ
G04-56M, S５６_標高１Kmメッシュ
G05-54M_100, S５４_表層時代１Kmメッシュ
G05-54M_200, S５４_表層岩石１Kmメッシュ
G05-54M_300, S５４_地形１Kmメッシュ
G02-12_100, H２４_降水量（年）１Kmメッシュ
G02-12_200, H２４_気温（年）１Kmメッシュ
